,Running time,XEntropy,Test performance,Best Validation score,Max epochs,N epochs,Activation function - hidden,Activation function - highway,L2_reg parameter,L1_reg parameter,Batch size,Iterations,Hidden neurons per layer,Hidden Layers,Highway Layers,Learning rate,lr_decay,momentum,Patience,b_T
360,1.57498020331,0.000796636733683,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.9,0.7,10000,-4
361,1.35271716515,0.00140470709842,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.97,0.7,10000,-4
362,1.36731604735,0.00195395444863,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.99,0.7,10000,-4
363,1.38164074818,0.000934735735455,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.9,0.8,10000,-4
364,1.37855836948,0.00120914963158,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.97,0.8,10000,-4
365,1.46611633301,0.0022431021637,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.99,0.8,10000,-4
366,1.40032981634,0.00103908288603,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.9,0.9,10000,-4
367,1.59738965034,0.00126300566292,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.97,0.9,10000,-4
368,1.3707411329,0.0020149227601,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.99,0.9,10000,-4
369,1.45380679766,0.0179667932572,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.9,0.7,10000,-3
370,1.385486118,0.0046685992559,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.97,0.7,10000,-3
371,1.36909940243,0.00355606740451,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.99,0.7,10000,-3
372,1.51825771332,0.00102606571673,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.9,0.8,10000,-3
373,1.52275329828,0.00322715603169,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.97,0.8,10000,-3
374,1.51685441732,0.00679201291037,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.99,0.8,10000,-3
375,1.56559871435,0.00468913356201,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.9,0.9,10000,-3
376,1.51659648418,0.0353945418665,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.97,0.9,10000,-3
377,1.42342436711,0.00505365086216,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.99,0.9,10000,-3
