Running time,XEntropy,Test performance,Best Validation score,Max epochs,N epochs,Activation function +AC0- hidden,Activation function +AC0- highway,L2+AF8-reg parameter,L1+AF8-reg parameter,Batch size,Iterations,Hidden neurons per layer,Hidden Layers,Highway Layers,Leaning rate,Rho,Patience    ,b+AF8-T
1.2157949845,0.0120186782,3.49,3.01,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,4600,50,1,9,0.005,0.9,45990,+AC0-5
1.2025665522,0.0110998012,3.28,2.97,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,3200,50,1,9,0.005,0.99,31990,+AC0-5
6.0691351175,2.6437151855,56.93,57.41,50,20,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,50,2000,50,1,19,0.05,0.5,19990,+AC0-5
14.7984700163,3.2124051752,56.07,56.91,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,50,13000,50,1,19,0.05,0.9,129990,+AC0-5
15.0922184507,3.3065460048,79.17,79.03,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,50,20000,50,1,19,0.05,0.99,199990,+AC0-5
5.9494184971,0.4196199236,7.56,6.92,50,20,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,50,2000,50,1,19,0.01,0.5,19990,+AC0-5
14.8774920464,0.2334942562,5.54,5.08,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,50,28000,50,1,19,0.01,0.9,279990,+AC0-5
18.6319351673,0.1935275625,6.15,5.48,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,50,46000,50,1,19,0.01,0.99,459990,+AC0-5
19.3011966348,0.2857407089,4.8,4.28,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,50,11000,50,1,19,0.005,0.5,109990,+AC0-5
14.9751721819,0.1195626832,3.95,3.37,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,50,23000,50,1,19,0.005,0.9,229990,+AC0-5
15.0218756477,0.0651079466,3.71,3.36,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,50,38000,50,1,19,0.005,0.99,379990,+AC0-5
10.1273723841,2.6797931912,31.6,31.69,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,10500,50,1,19,0.05,0.5,104990,+AC0-5
4.0564808687,0.0063705983,81.55,82.6,50,21,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,500,50,1,19,0.05,0.9,10000,+AC0-5
4.0441498319,0.0052971373,90.2,90.09,50,21,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,500,50,1,19,0.05,0.99,10000,+AC0-5
